City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
141,Araguari,BR,-18.6472,-48.1872,71.89,85,2,4.41,clear sky
142,Byron Bay,AU,-28.65,153.6167,82.94,51,0,7.18,clear sky
143,Cabatuan,PH,10.8794,122.486,81.88,79,100,12.44,overcast clouds
144,Georgetown,MY,5.4112,100.3354,85.93,63,20,6.91,few clouds
145,Harper,LR,4.375,-7.7169,78.1,83,57,5.17,broken clouds
146,Vathi,GR,38.4,23.6,62.73,48,20,14.97,few clouds
147,Zheleznogorsk-Ilimskiy,RU,56.5768,104.1217,-18.53,95,100,7.81,overcast clouds
148,Arraial Do Cabo,BR,-22.9661,-42.0278,73.76,93,0,17.13,clear sky
149,Aksu,CN,41.1231,80.2644,1.38,86,4,5.57,clear sky
150,Chauk,MM,20.8833,94.8167,70.52,45,0,4.94,clear sky
151,Bowen,AU,-20.0167,148.2333,78.69,75,100,20.58,overcast clouds
152,Rio Grande,BR,-32.035,-52.0986,72.12,76,0,14.14,clear sky
153,Bakel,SN,14.905,-12.4568,74.53,14,99,10.38,overcast clouds
154,Tilichiki,RU,60.4667,166.1,-2.87,95,100,9.01,overcast clouds
155,Coquimbo,CL,-29.9533,-71.3436,62.33,82,0,2.3,clear sky
156,Flinders,AU,-34.5833,150.8552,85.17,63,44,8.99,scattered clouds
157,Ilulissat,GL,69.2167,-51.1,-26.1,83,90,5.66,overcast clouds
158,New Norfolk,AU,-42.7826,147.0587,72.9,47,45,8.01,scattered clouds
159,Atasu,KZ,48.6814,71.6433,-1.95,90,13,7.83,few clouds
160,Kuytun,RU,54.3419,101.5036,-11.18,87,100,16.46,overcast clouds
161,Longyearbyen,SJ,78.2186,15.6401,12.04,67,0,11.5,clear sky
162,Katete,UG,-0.7818,29.7544,62.37,68,96,3.36,overcast clouds
163,Tautira,PF,-17.7333,-149.15,79.99,78,18,10.58,light rain
164,Kaitangata,NZ,-46.2817,169.8464,63.99,64,3,8.19,clear sky
165,Eydhafushi,MV,5.1033,73.0708,80.47,78,38,13.04,scattered clouds
166,Rocha,UY,-34.4833,-54.3333,64.2,93,0,5.5,clear sky
167,Bada,RU,51.392,109.8717,6.06,88,100,8.99,overcast clouds
168,Victoria,HK,22.2855,114.1577,62.26,61,100,11.99,overcast clouds
169,Ribeira Grande,PT,38.5167,-28.7,55.78,83,36,8.01,scattered clouds
170,Tiksi,RU,71.6872,128.8694,-21.95,100,100,5.41,overcast clouds
171,Bonthe,SL,7.5264,-12.505,74.39,85,8,3.15,clear sky
172,Shelburne,CA,44.0787,-80.2041,36.12,98,100,12.93,overcast clouds
173,Ludvika,SE,60.1496,15.1878,34.34,98,100,6.2,light snow
174,Ripoll,ES,42.2006,2.1903,35.24,85,11,1.01,few clouds
175,Alekseyevskaya,RU,50.2896,42.1845,20.8,93,100,12.75,overcast clouds
